Release 14.7 - par P.20131013 (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Mon Jul 24 16:16:29 2017


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       example_top_map.ncd
OUTPUT FILE:      example_top_pad.txt
PART TYPE:        xc6slx45
SPEED GRADE:      -2
PACKAGE:          csg324

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name      |Pin Usage|Pin Name                     |Direction|IO Standard   |IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|N5        |                 |IOBM     |IO_L64P_D8_2                 |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|N6        |                 |IOBM     |IO_L47P_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|N7        |                 |IOBM     |IO_L44P_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|N8        |                 |IOBS     |IO_L40N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|N9        |                 |IOBS     |IO_L22N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|N10       |                 |IOBM     |IO_L20P_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|N11       |                 |IOBS     |IO_L15N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|N12       |                 |IOBM     |IO_L13P_M1_2                 |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|N13       |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
|N14       |                 |IOBS     |IO_L53N_VREF_1               |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|N15       |                 |IOBM     |IO_L50P_M1UDQS_1             |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|N16       |                 |IOBS     |IO_L50N_M1UDQSN_1            |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|N17       |                 |IOBM     |IO_L48P_HDC_M1DQ8_1          |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|N18       |                 |IOBS     |IO_L48N_M1DQ9_1              |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|P1        |mcb3_dram_udqs_n |IOB      |IO_L34N_M3UDQSN_3            |TRISTATE |DIFF_SSTL15_II|3             |          |         |PULLUP     |         |         |LOCATED   |NO         |NONE            |
|P2        |mcb3_dram_udqs   |IOB      |IO_L34P_M3UDQS_3             |BIDIR    |DIFF_SSTL15_II|3             |          |         |PULLDOWN   |NONE     |         |LOCATED   |NO         |NONE            |
|P3        |pll_locked       |IOB      |IO_L2N_3                     |OUTPUT   |SSTL15_II     |3             |          |         |           |         |         |LOCATED   |NO         |NONE            |
|P4        |error            |IOB      |IO_L2P_3                     |OUTPUT   |SSTL15_II     |3             |          |         |           |         |         |LOCATED   |NO         |NONE            |
|P5        |                 |         |VCCAUX                       |         |              |              |          |         |           |         |2.5      |          |           |                |
|P6        |                 |IOBS     |IO_L64N_D9_2                 |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|P7        |                 |IOBS     |IO_L47N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|P8        |                 |IOBS     |IO_L44N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|P9        |                 |         |VCCO_2                       |         |              |2             |          |         |           |         |3.30     |          |           |                |
|P10       |                 |         |VCCAUX                       |         |              |              |          |         |           |         |2.5      |          |           |                |
|P11       |                 |IOBS     |IO_L20N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|P12       |                 |IOBS     |IO_L13N_D10_2                |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|P13       |                 |         |CMPCS_B_2                    |         |              |              |          |         |           |         |         |          |           |                |
|P14       |                 |         |VCCAUX                       |         |              |              |          |         |           |         |2.5      |          |           |                |
|P15       |                 |IOBM     |IO_L74P_AWAKE_1              |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|P16       |                 |IOBS     |IO_L74N_DOUT_BUSY_1          |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|P17       |                 |IOBM     |IO_L49P_M1DQ10_1             |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|P18       |                 |IOBS     |IO_L49N_M1DQ11_1             |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|R1        |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
|R2        |                 |         |VCCO_3                       |         |              |3             |          |         |           |         |1.50     |          |           |                |
|R3        |                 |IOBM     |IO_L62P_D5_2                 |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|R4        |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
|R5        |                 |IOBM     |IO_L48P_D7_2                 |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|R6        |                 |         |VCCO_2                       |         |              |2             |          |         |           |         |3.30     |          |           |                |
|R7        |                 |IOBM     |IO_L46P_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|R8        |                 |IOBM     |IO_L31P_GCLK31_D14_2         |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|R9        |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
|R10       |                 |IOBM     |IO_L29P_GCLK3_2              |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|R11       |                 |IOBM     |IO_L16P_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|R12       |                 |         |VCCO_2                       |         |              |2             |          |         |           |         |3.30     |          |           |                |
|R13       |                 |IOBM     |IO_L3P_D0_DIN_MISO_MISO1_2   |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|R14       |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
|R15       |                 |IOBM     |IO_L1P_CCLK_2                |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|R16       |                 |         |SUSPEND                      |         |              |              |          |         |           |         |         |          |           |                |
|R17       |                 |         |VCCO_1                       |         |              |1             |          |         |           |         |any******|          |           |                |
|R18       |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
|T1        |mcb3_dram_dq<13> |IOB      |IO_L33N_M3DQ13_3             |BIDIR    |SSTL15_II     |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|T2        |mcb3_dram_dq<12> |IOB      |IO_L33P_M3DQ12_3             |BIDIR    |SSTL15_II     |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|T3        |                 |IOBS     |IO_L62N_D6_2                 |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T4        |heartbeat        |IOB      |IO_L63P_2                    |OUTPUT   |LVCMOS33      |2             |12        |SLOW     |           |         |         |LOCATED   |YES        |NONE            |
|T5        |                 |IOBS     |IO_L48N_RDWR_B_VREF_2        |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T6        |                 |IOBM     |IO_L45P_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T7        |                 |IOBS     |IO_L46N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T8        |                 |IOBS     |IO_L31N_GCLK30_D15_2         |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T9        |                 |IOBM     |IO_L32P_GCLK29_2             |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T10       |                 |IOBS     |IO_L29N_GCLK2_2              |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T11       |                 |IOBS     |IO_L16N_VREF_2               |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T12       |                 |IOBM     |IO_L19P_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T13       |                 |IOBS     |IO_L3N_MOSI_CSI_B_MISO0_2    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T14       |                 |IOBM     |IO_L12P_D1_MISO2_2           |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T15       |                 |IOBS     |IO_L1N_M0_CMPMISO_2          |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|T16       |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
|T17       |                 |IOBM     |IO_L51P_M1DQ12_1             |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|T18       |                 |IOBS     |IO_L51N_M1DQ13_1             |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|U1        |mcb3_dram_dq<15> |IOB      |IO_L32N_M3DQ15_3             |BIDIR    |SSTL15_II     |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|U2        |mcb3_dram_dq<14> |IOB      |IO_L32P_M3DQ14_3             |BIDIR    |SSTL15_II     |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|U3        |                 |IOBM     |IO_L65P_INIT_B_2             |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|U4        |                 |         |VCCO_2                       |         |              |2             |          |         |           |         |3.30     |          |           |                |
|U5        |                 |IOBM     |IO_L49P_D3_2                 |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|U6        |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
|U7        |                 |IOBM     |IO_L43P_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|U8        |                 |IOBM     |IO_L41P_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|U9        |                 |         |VCCO_2                       |         |              |2             |          |         |           |         |3.30     |          |           |                |
|U10       |                 |IOBM     |IO_L30P_GCLK1_D13_2          |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|U11       |                 |IOBM     |IO_L23P_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|U12       |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
|U13       |                 |IOBM     |IO_L14P_D11_2                |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|U14       |                 |         |VCCO_2                       |         |              |2             |          |         |           |         |3.30     |          |           |                |
|U15       |                 |IOBM     |IO_L5P_2                     |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|U16       |                 |IOBM     |IO_L2P_CMPCLK_2              |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|U17       |                 |IOBM     |IO_L52P_M1DQ14_1             |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|U18       |                 |IOBS     |IO_L52N_M1DQ15_1             |UNUSED   |              |1             |          |         |           |         |         |          |           |                |
|V1        |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
|V2        |                 |         |PROGRAM_B_2                  |         |              |              |          |         |           |         |         |          |           |                |
|V3        |                 |IOBS     |IO_L65N_CSO_B_2              |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V4        |                 |IOBS     |IO_L63N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V5        |                 |IOBS     |IO_L49N_D4_2                 |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V6        |                 |IOBS     |IO_L45N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V7        |                 |IOBS     |IO_L43N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V8        |                 |IOBS     |IO_L41N_VREF_2               |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V9        |                 |IOBS     |IO_L32N_GCLK28_2             |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V10       |c3_sys_clk       |IOB      |IO_L30N_GCLK0_USERCCLK_2     |INPUT    |LVCMOS33      |2             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|V11       |                 |IOBS     |IO_L23N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V12       |                 |IOBS     |IO_L19N_2                    |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V13       |                 |IOBS     |IO_L14N_D12_2                |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V14       |                 |IOBS     |IO_L12N_D2_MISO3_2           |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V15       |                 |IOBS     |IO_L5N_2                     |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V16       |                 |IOBS     |IO_L2N_CMPMOSI_2             |UNUSED   |              |2             |          |         |           |         |         |          |           |                |
|V17       |                 |         |DONE_2                       |         |              |              |          |         |           |         |         |          |           |                |
|V18       |                 |         |GND                          |         |              |              |          |         |           |         |         |          |           |                |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen. 
****** Special VCCO requirements may apply. Please consult the device 
       family datasheet for specific guideline on VCCO requirements. 


